COD_DANE;DEPARTAMENTO;NUM_MPIOS;CAPITAL;AREA_KM;POB;POB_NBI;T_NBI;T_DESEMPLEO;AREA_RIESGO
91;AMAZONAS;2;Leticia;109665;82068;36446;44,41;5,2;5,33
5;ANTIOQUIA;125;Medellín;63612;6887306;1581300;22,96;8,4;3,60
81;ARAUCA;7;Arauca;23818;304978;109518;35,91;6,3;3,59
8;ATLÁNTICO;23;Barranquilla;3388;2804025;693645;24,74;10,1;0,49
11;BOGOTÁ, D. C.;1;Bogotá;1139;8906342;819651;9,2;9,5;0,92
13;BOLÍVAR;45;Cartagena;25978;2236603;1042362;46,6;12,2;9,32
15;BOYACÁ;123;Tunja;23189;1259601;387517;30,77;7,1;2,77
17;CALDAS;27;Manizales;7888;1036455;184113;17,76;8;3,55
18;CAQUETÁ;16;Florencia;88965;419275;174937;41,72;6,8;4,17
85;CASANARE;19;Yopal;44640;442068;157133;35,55;5,5;2,58
19;CAUCA;41;Popayán;29308;1516018;706693;46,62;11,3;3,73
20;CESAR;25;Valledupar;22905;1341697;600118;44,73;10,4;1,79
27;CHOCÓ;31;Quibdó;46530;553519;438333;79,19;14,5;11,88
23;CÓRDOBA;30;Montería;25020;1856496;1097041;59,09;12,7;8,86
25;CUNDINAMARCA;116;Bogotá;23071;2473634;526924;21,3;7,9;1,92
94;GUAINÍA;2;Inírida;72238;52061;31559;60,62;5;1,82
95;GUAVIARE;4;San José del Guaviare;53460;90357;36041;39,89;5,3;0,40
41;HUILA;37;Neiva;19890;1140932;372190;32,62;8,6;3,75
44;LA GUAJIRA;15;Riohacha;20848;1002394;653866;65,23;13,1;1,30
47;MAGDALENA;30;Santa Marta;23188;1463427;697808;47,68;12,5;2,86
50;META;29;Villavicencio;85635;1080706;270522;25,03;6;0,50
52;NARIÑO;64;Pasto;33268;1629181;713411;43,79;10,9;2,86
54;NORTE DE SANTANDER;40;Cúcuta;21658;1651278;502450;30,43;11,5;4,98
86;PUTUMAYO;13;Mocoa;24885;369064;132893;36,01;6,2;2,88
63;QUINDÍO;12;Armenia;1845;569569;92283;16,2;7,7;4,05
66;RISARALDA;14;Pereira;4140;977829;170799;17,47;8,2;0,70
88;SAN ANDRÉS Y PROVIDENCIA;1;San Andrés;44;65228;26641;40,84;6,4;3,68
68;SANTANDER;87;Bucaramanga;30537;2324090;509710;21,93;9,2;3,51
70;SUCRE;26;Sincelejo;10917;972350;533396;54,86;12,9;6,24
73;TOLIMA;47;Ibagué;23562;1346935;402052;29,85;9;0,60
76;VALLE DEL CAUCA;42;Cali;22140;4589278;719395;15,68;10;3,25
97;VAUPÉS;3;Mitú;54135;48932;26798;54,77;5,1;5,22
99;VICHADA;4;Puerto Carreño;100242;115778;77514;66,95;5,4;5,36
